skill_id,name,advice,next_steps
beachvolley:fingerslag,Fingerslag,Håll handleden rak och fingrarna ihop.|Slå bollen med fingertopparna för bättre kontroll.|Följ igenom slaget för att ge bollen rätt riktning.|Öva på att placera bollen exakt där du vill.,Öva fingerslag mot vägg 50 ggr per dag.|Filma dig själv framifrån och bakifrån och jämför.|Öva med partner: växla fingerslag 10 i rad utan tapp.|Fokusera enbart på handledsrörelsen nästa session.
beachvolley:bagger,Bagger,Använd hela armen för att skapa kraft.|Håll handleden avslappnad för bättre känsla.|Slå bollen framför kroppen.|Fokusera på att få bollen över nätet med precision.,Öva bagger mot vägg med jämnt tempo.|Träna fotarbete – positionera dig rätt före slag.|Öva med partner: serve–bagger 20 i rad.|Jobba på armvinkeln vid kontakt.
beachvolley:underarmsserve,Underarmsserve,"Stå med fötterna axelbrett isär.|Slå bollen med underarmen, inte handen.|Håll bollen stilla innan serve.|Öva på att variera servens riktning och hastighet.",Öva servens precision: sikta på specifika zoner.|Variera kraft – träna både låg och hög hastighet.|Filma servens från sidan för att kontrollera kroppspositionen.|Öva 20 serves i rad med konsekvent teknik.
beachvolley:overarmsserve,Överarmsserve,Kasta bollen uppåt och slå den när den faller.|Använd hela kroppen för att generera kraft.|Håll blicken på bollen hela tiden.|Öva på att träffa bollen i mitten för bättre kontroll.,Öva kastet separat – konsekvent höjd och position.|Fokusera på höftrotation för mer kraft.|Träna på att variera riktning (kors/linje).|Filma utifrån sidan – kontrollera armbågens höjd.
beachvolley:spike,Spike,Hoppa högt och sträck ut armen helt.|Kontakta bollen framför pannan.|Använd handleden för att styra riktningen.|Följ igenom slaget för maximal kraft.,Öva ansatsen – 3-stegsansats tills den sitter.|Träna hoppet separat för att bygga explosivitet.|Öva spiken mot med nät utan motståndare.|Filma framifrån – kontrollera höjden på bollkontakten.
beachvolley:alternativa-anfall,Alternativa anfall,Variera dina anfall för att överraska motståndaren.|Öva på olika typer av slag som tipp och roll.|Använd kroppen för att skapa vinklar.|Kommunicera med din partner om vilket anfall du ska göra.,"Öva tipp och roll 10 ggr vardera per träning.|Träna att bestämma anfallstyp SENT i hoppet.|Öva med partner: blockeraren väljer sida, anfallaren anpassar.|Filma sidoprofil – kontrollera hur väl du döljer anfallsintentionen."
beachvolley:block,Block,Hopp upp samtidigt som motståndaren.|Håll armarna raka och händerna ihop.|Läs motståndarens intention.|Blocka bollen rakt upp för att hjälpa din partner.,Öva blocktiming med en partner som spikar.|Träna att läsa motståndarens axelriktning.|Öva på att landa stabilt och direkt ta nästa position.|Filma framifrån – kontrollera handens läge vid kontakt.
beachvolley:blockback,Blockback,Vrid kroppen för att nå bollen bakom dig.|Använd båda händerna för bättre kontroll.|Hopp högt och sträck ut.|Öva på timing för att hinna fram i tid.,Öva rotering och sträckning utan boll.|Träna blockback med sakta-serve från partner.|Jobba på landningen – direkt balans efter hopp.|Filma bakifrån – kontrollera vridningens full räckvidd.
beachvolley:servemottag,Servemottag,Stå redo med knäna böjda.|Flytta fötterna snabbt för att nå bollen.|Använd platt hand för bättre kontroll.|Passa bollen högt och precist till din partner.,"Öva mottagets precision – sikta på en specifik zon.|Träna reaktionssnabbhet med varierande serveriktningar.|Öva ""bagger-position"" som grundposition.|Filma framifrån under match för att analysera beslut."
beachvolley:hoppfloat,Hoppfloat,Hoppa högt och slå bollen med fingertopparna.|Håll handleden rak.|Skapa en flytande rörelse.|Öva på att placera bollen exakt.,Öva floatrörelsen stående på marken först.|Träna ansats + hopp utan boll.|Öva precision: sikta på specifika fält.|Filma serven från sidan för att kontrollera hoppets höjd.
beachvolley:spinnserve,Spinnserve,Snurra bollen med fingrarna innan serve.|Slå bollen med kraft för att skapa rotation.|Variera spinnet för att göra det svårare för motståndaren.|Öva på att träffa bollen rätt för önskad effekt.,Öva greppet – håll och snurra bollen utan att serva.|Träna spinnets riktning: topspin vs. sidospin.|Öva 10 spinner i rad mot ett fält.|Filma handen vid kontakt – kontrollera fingerarbetet.
volleyboll:fingerslag,Fingerslag,Håll handleden rak och fingrarna ihop.|Slå bollen med fingertopparna för bättre kontroll.|Följ igenom slaget för att ge bollen rätt riktning.|Öva på att placera bollen exakt där du vill.,Öva fingerslag mot vägg 50 ggr per dag.|Filma dig framifrån – kontrollera handpositionen.|Öva med partner i par-fingerslag 10 i rad.|Fokusera på sättningens höjd och precision.
volleyboll:bagger,Bagger,Använd hela armen för att skapa kraft.|Håll handleden avslappnad för bättre känsla.|Slå bollen framför kroppen.|Fokusera på att få bollen över nätet med precision.,Öva bagger mot vägg med jämnt tempo.|Träna fotarbete – positionera dig rätt.|Öva serve–mottag med partner 20 i rad.|Jobba på armvinkeln vid kontakt.
volleyboll:underarmsserve,Underarmsserve,"Stå med fötterna axelbrett isär.|Slå bollen med underarmen, inte handen.|Håll bollen stilla innan serve.|Öva på att variera servens riktning och hastighet.",Öva precision: sikta på specifika zoner.|Variera kraft från session till session.|Filma servens från sidan – kontrollera positionen.|Öva 20 serves i rad med konsekvent teknik.
volleyboll:overarmsserve,Överarmsserve,Kasta bollen uppåt och slå den när den faller.|Använd hela kroppen för att generera kraft.|Håll blicken på bollen hela tiden.|Öva på att träffa bollen i mitten för bättre kontroll.,Öva kastet separat – konsekvent höjd.|Fokusera på höftrotation.|Träna riktningsvariation (kors/linje).|Filma utifrån sidan – kontrollera armbågens höjd.
volleyboll:spike,Spike,Hoppa högt och sträck ut armen helt.|Kontakta bollen framför pannan.|Använd handleden för att styra riktningen.|Följ igenom slaget för maximal kraft.,Öva 3-stegsansatsen tills den sitter.|Träna hoppet för explosivitet.|Öva spiken med nät utan motståndare.|Filma framifrån – kontrollera bollkontaktens höjd.
volleyboll:alternativa-anfall,Alternativa anfall,Variera dina anfall för att överraska motståndaren.|Öva på olika typer av slag som tipp och roll.|Använd kroppen för att skapa vinklar.|Kommunicera med din partner om vilket anfall du ska göra.,"Öva tipp och roll 10 ggr vardera.|Träna sen beslutfattning i hoppet.|Öva med partner: blockeraren väljer, anfallaren anpassar.|Filma sidoprofil för att analysera intentions-döljan."
