skill_id,sport_id,enabled,sort_order,video_urls
beachvolley:fingerslag,beachvolley,true,10,https://youtu.be/bpZ5nas5Xjg
beachvolley:bagger,beachvolley,true,20,https://youtu.be/zLgYtTiFUcg
beachvolley:underarmsserve,beachvolley,true,30,https://youtu.be/G74FrB5oWB8
beachvolley:overarmsserve,beachvolley,true,40,https://youtu.be/mMfx9RruD4M
beachvolley:spike,beachvolley,true,50,https://youtu.be/NqvQi9lGtlk
beachvolley:alternativa-anfall,beachvolley,true,60,https://youtu.be/-v8xTpy_t80
beachvolley:block,beachvolley,true,70,https://youtu.be/CGJan-b2264
beachvolley:blockback,beachvolley,true,80,https://youtu.be/3pdnVnbyPcs
beachvolley:servemottag,beachvolley,true,90,https://youtu.be/kQ74R6AxYTc
beachvolley:hoppfloat,beachvolley,true,100,https://youtu.be/vH9fC1wIizQ
beachvolley:spinnserve,beachvolley,true,110,https://youtu.be/iEwKapegSBg
volleyboll:fingerslag,volleyboll,true,120,https://youtu.be/0tx12g4zpS0
volleyboll:bagger,volleyboll,true,130,https://youtu.be/rrxxt9TRYOg
volleyboll:underarmsserve,volleyboll,true,140,https://youtu.be/UTayLe0-Pig
volleyboll:overarmsserve,volleyboll,true,150,https://youtu.be/lUBDgm1HAU8
volleyboll:spike,volleyboll,true,160,https://youtu.be/QJHrK30wYeY
volleyboll:alternativa-anfall,volleyboll,true,170,https://youtu.be/a0q9ImY3AF0
volleyboll:block,volleyboll,true,180,https://youtu.be/bGtl_0JVEHY
volleyboll:servemottag,volleyboll,true,190,https://youtu.be/NOIUGBE7Kic
volleyboll:hoppfloat,volleyboll,true,200,https://youtu.be/451YxzRtieU
volleyboll:spinnserve,volleyboll,true,210,https://youtu.be/NOEzkALBPnc
tennis:forehand,tennis,true,220,https://youtu.be/EjAi0K5M9Yk
tennis:backhand,tennis,true,230,https://youtu.be/O6vNQ6Qz6zM
tennis:serve,tennis,true,240,https://youtu.be/IJ0Qf8WJv3w
tennis:volley-vid-nat,tennis,true,250,https://youtu.be/x6YQjA3zY8U
